date, value
1980-07-18, 40.6
1980-10-30, 13.3
1981-02-22, 10.6
1981-03-10, 15.0
1981-08-09, 38.3
1982-02-02, 6.1
1982-05-14, 21.7
1982-12-22, 8.9
1984-04-09, 22.8
1984-05-23, 31.7
1984-09-07, 35.0
1984-10-28, 14.4
1985-03-09, 15.6
1985-08-10, 33.9
1985-11-15, 6.1
1986-03-17, 12.2
1986-04-08, 22.2
1987-02-24, 8.9
1987-05-08, 29.4
1987-05-29, 23.9
1987-07-09, 39.4
1989-11-01, 15.6
1989-12-25, 8.3
1990-01-05, -1.1
1990-06-15, 33.9
1990-06-29, 41.7
1991-02-05, 4.4
1991-03-21, 13.9
1991-04-22, 21.7
1991-11-14, 15.6
1991-12-18, 0.0
1992-04-04, 24.4
1993-09-17, 29.4
1993-11-08, 13.9
1993-12-28, 1.7
1994-08-12, 38.9
1994-11-04, 18.3
1995-02-03, 17.8
1996-05-28, 26.7
1996-11-19, 16.1
1997-01-25, 7.8
1997-04-10, 17.2
1997-09-20, 31.1
1997-10-27, 12.8
1998-06-09, 27.8
1998-11-19, 14.4
1998-12-12, 5.6
1999-06-02, 31.1
2000-07-08, 37.2
2000-08-18, 37.2
2000-10-07, 28.9
2001-01-18, 3.3
2001-06-13, 34.4
2002-04-27, 27.2
2002-09-21, 26.7
2003-04-01, 23.9
2003-04-02, 24.4
2003-06-21, 32.8
2003-11-23, 14.4
2004-01-19, 6.1
2004-02-29, 12.2
2005-02-23, 16.7
2006-01-14, 8.3
2006-02-22, 8.9
2006-06-14, 36.1
2006-08-29, 32.8
2007-07-30, 38.3
2007-09-29, 29.4
2007-12-27, 0.6
2008-04-11, 14.4
2008-11-05, 20.0
2009-04-27, 16.7
2010-03-30, 22.2
2011-03-22, 18.3
2011-03-28, 16.7
2011-08-12, 37.2
2011-10-08, 15.0
2012-02-17, 10.6
2012-05-20, 26.1
2012-06-17, 36.1
2013-05-06, 27.2
2013-06-22, 35.6
2013-08-29, 34.4
2014-10-19, 21.1
2014-12-13, 14.4
2015-07-17, 35.0
2015-08-02, 35.0
2015-10-24, 18.3
2015-12-03, 3.9
2016-01-28, 7.2
2016-04-18, 13.3
2016-08-09, 37.2
2018-10-11, 17.2
2018-10-22, 21.1
2019-01-18, 8.9
2019-09-26, 31.7
2020-01-20, 2.8
2020-05-15, 28.3
2020-05-29, 36.1
2020-10-27, 1.1
